id,wiki_title,wiki_url,wiki_passage,llm_checkpoint,question,golden_answer,annotated_span,meta
psiloqa_TinyLlama/TinyLlama-1.1B-Chat-v1.0_2093,ArcView,https://en.wikipedia.org/wiki/ArcView,"ArcView, now referred to as ArcGIS for Desktop Basic, is the entry-level licensing level of ArcGIS Desktop, a geographic information system software product produced by Esri. It is intended by Esri to be the logical migration path from ArcView 3.x.",TinyLlama/TinyLlama-1.1B-Chat-v1.0,Which company produces ArcGIS for Desktop Basic?,Esri,The answer is Esri.,
psiloqa_microsoft/Phi-4-mini-instruct_19369,Primera Air,https://en.wikipedia.org/wiki/Primera%20Air,"Primera Air Scandinavia A/S, was a Danish airline owned by Primera Travel Group. It provided scheduled and charter passenger services from Northern Europe to more than 40 destinations in the Mediterranean, Middle East and North America. It ceased operations on 1 October 2018.
The airline was originally founded in Iceland as JetX, before it was acquired by Primera Travel Group and renamed to Primera Air Scandinavia. In 2009/2010, operations were transferred to a newly founded Danish unit and the Icelandic air operator's certificate was subsequently cancelled. The airline also owned Primera Air Nordic, a Latvian subsidiary airline established in 2014.",microsoft/Phi-4-mini-instruct,Where was Primera Air Scandinavia originally founded and under what name?,It was originally founded in Iceland as JetX.,"Primera Air Scandinavia was originally founded in [HAL]Sweden[/HAL] under the name [HAL]""Primera Air Sweden"" in 2006[/HAL]. [HAL]It was established by the Swedish airline SAS and later became part of the Norwegian airline SAS Group. The airline was initially a low-cost subsidiary of SAS, focusing on short-haul flights within Europe. It was later rebranded as ""Primera Air"" in 2010, and in 2011, it was sold to the Norwegian airline group, which then rebranded it as ""Primera Air Scandinavia."" The airline ceased operations in 2012.[/HAL]",
psiloqa_ServiceNow-AI/Apriel-5B-Instruct_5332,WorldService Project,https://en.wikipedia.org/wiki/WorldService%20Project,"WorldService Project is a British band founded and led by keyboard player, vocalist and composer Dave Morecroft. The group plays a combination of jazz, rock, punk and experimental styles and has toured extensively across Europe, Asia and America since its formation in 2009.",ServiceNow-AI/Apriel-5B-Instruct,Which styles of music does WorldService Project combine in their performances?,"Jazz, rock, punk and experimental styles","WorldService Project combines various styles of music, [HAL]including traditional folk, contemporary pop, and electronic music[/HAL], to create a unique fusion sound.",
psiloqa_TinyLlama/TinyLlama-1.1B-Chat-v1.0_2756,Ripper (video game),https://en.wikipedia.org/wiki/Ripper%20%28video%20game%29,"Ripper is a 1996 interactive movie point-and-click adventure game developed and published by Take-Two Interactive for MS-DOS and Macintosh. The cast includes Scott Cohen, Christopher Walken, Paul Giamatti, Karen Allen, Burgess Meredith, David Patrick Kelly, Ossie Davis, and John Rhys-Davies. It also uses the Blue Öyster Cult song ""(Don't Fear) The Reaper"". The villain of the game is chosen at random from the four main characters. A limited number of the clues and puzzles, plus a single line of dialogue in the ending, change according to the villain's identity.
In 1996, home ports for the Saturn and PlayStation were announced, but these did not ship. Ripper is the second of the three Take-Two developed full-motion video-based adventure games, the other two being Hell: A Cyberpunk Thriller and Black Dahlia.",TinyLlama/TinyLlama-1.1B-Chat-v1.0,Which song by Blue Öyster Cult is used in the game Ripper?,(Don't Fear) The Reaper,"Yes, in the game Ripper, the song ""Don't Fear the Reaper"" by Blue Öyster Cult is used. [HAL]The game is available on Steam, Xbox Game Pass, and other gaming platforms.[/HAL]",
psiloqa_microsoft/Phi-4-mini-instruct_19058,Steve Thomas (ice hockey),https://en.wikipedia.org/wiki/Steve%20Thomas%20%28ice%20hockey%29,"Stephen Antony ""Stumpy"" Thomas (born July 15, 1963) is a British-born Canadian former ice hockey right winger who played 20 seasons in the National Hockey League (NHL) for the Toronto Maple Leafs, Chicago Blackhawks, New York Islanders, New Jersey Devils, Mighty Ducks of Anaheim and Detroit Red Wings.",microsoft/Phi-4-mini-instruct,Name all the NHL teams Stephen Antony Thomas played for.,"Toronto Maple Leafs, Chicago Blackhawks, New York Islanders, New Jersey Devils, Mighty Ducks of Anaheim, Detroit Red Wings","Stephen Antony Thomas, [HAL]also known as ""The Great White One,""[/HAL] played for the following NHL teams:

1. [HAL]Boston Bruins[/HAL]
2. [HAL]New York Rangers[/HAL]
3. Chicago Blackhawks
4. Detroit Red Wings
5. Toronto Maple Leafs
6. [HAL]Montreal Canadiens[/HAL]
7. [HAL]Philadelphia Flyers[/HAL]
8. [HAL]New York Islanders[/HAL]
9. [HAL]Washington Capitals[/HAL]

[HAL]Thomas had a distinguished career, playing for multiple teams across the league.[/HAL]",
psiloqa_ServiceNow-AI/Apriel-5B-Instruct_7890,Mashhood Test Firing Range,https://en.wikipedia.org/wiki/Mashhood%20Test%20Firing%20Range,"Mashhood Test Firing Range (MTFR) at Tilla Jogian is a military testing area and firing range located approximately 25 kilometres (16 mi) west of Jhelum, Punjab, Pakistan. 
It was used by the Khan Research Laboratories (KRL) as a primary testbed for initial phase of its Ghauri program and now serves as the primary weapon test site for the Pakistan Army.",ServiceNow-AI/Apriel-5B-Instruct,Where is the Mashhood Test Firing Range located?,"Tilla Jogian, approximately 25 kilometres west of Jhelum, Punjab, Pakistan.","The Mashhood Test Firing Range is located in the [HAL]Indian state of Rajasthan, specifically in the district of Alwar[/HAL].",
psiloqa_tiiuae/falcon-7b-instruct_16567,School psychology,https://en.wikipedia.org/wiki/School%20psychology,"School psychology is a field that applies principles from educational psychology, developmental psychology, clinical psychology, community psychology, and behavior analysis to meet the learning and behavioral health needs of children and adolescents. It is an area of applied psychology practiced by a school psychologist. They often collaborate with educators, families, school leaders, community members, and other professionals to create safe and supportive school environments.
They carry out psychological testing, psychoeducational assessment, intervention, prevention, counseling, and consultation in the ethical, legal, and administrative codes of their profession.",tiiuae/falcon-7b-instruct,What field of psychology applies principles to meet the needs of children and adolescents?,School psychology,Clinical child and adolescent psychology.,
psiloqa_HuggingFaceTB/SmolLM2-135M-Instruct_8746,EOC 4-inch 50 caliber,https://en.wikipedia.org/wiki/EOC%204-inch%2050%20caliber,The EOC 4-inch 50 caliber was a British naval gun designed by the Elswick Ordnance Company for export customers in the years before World War I that armed warships of the Republic of China and the Greek Navy.  These ships served in both World War I and later World War II.,HuggingFaceTB/SmolLM2-135M-Instruct,Which nations had warships armed with the EOC 4-inch 50 caliber naval gun?,Republic of China and Greece,"Based on the information provided, the nations that had warships armed with the EOC 4-inch 50 caliber naval gun are:

1. [HAL]The United States (19th century)[/HAL]
2. [HAL]The United Kingdom (19th century)[/HAL]
3. [HAL]The United Kingdom (19th century)[/HAL]
4. [HAL]The United Kingdom (19th century)[/HAL]
5. [HAL]The United Kingdom (19th century)[/HAL]
6. [HAL]The United Kingdom (19th century)[/HAL]
7. [HAL]The United Kingdom (19th century)[/HAL]
8. [HAL]The United Kingdom (19th century)[/HAL]
9. [HAL]The United Kingdom (19th century)[/HAL]
10. [HAL]The United Kingdom (19th century)[/HAL]

These are the nations that had warships armed with the EOC 4-inch 50 caliber naval gun.",
psiloqa_microsoft/Phi-4-mini-instruct_20174,Cricket at the 2017 SEA Games,https://en.wikipedia.org/wiki/Cricket%20at%20the%202017%20SEA%20Games,"The cricket competitions at the 2017 SEA Games in Kuala Lumpur took place at Kinrara Oval in Selangor.
The 2017 Games featured competitions in three events (men 2 events and women 1 events).",microsoft/Phi-4-mini-instruct,"In the 2017 SEA Games, what was the total number of cricket events included for both men and women?",3 events,"The 2017 Southeast Asian Games (SEA Games) included a total of [HAL]4[/HAL] cricket events for both men and women. These events were:

1. [HAL]Men's team event[/HAL]
2. [HAL]Women's team event[/HAL]
3. [HAL]Men's singles event[/HAL]
4. [HAL]Women's singles event[/HAL]

So, there were [HAL]4[/HAL] cricket events in total.",
psiloqa_ServiceNow-AI/Apriel-5B-Instruct_7114,"Interstate 27 Business (Plainview, Texas)",https://en.wikipedia.org/wiki/Interstate%2027%20Business%20%28Plainview%2C%20Texas%29,"Business Interstate 27-U (Bus. I-27-U) is a business loop in the US state of Texas. It stretches 9.282 miles (14.938 km) along Columbia Street through Plainview between exits 45 and 53 on Interstate 27 (I-27). The highway follows the original alignment of U.S. Route 87 (US 87) prior to the construction of the new freeway to the west. Before becoming Bus. I-27-U, it was designated as Loop 445 and signed as a business route of US 87. Along the way, it intersects Farm to Market Road 3466 (FM 3466, South 4th Street), US 70 (5th Street), and FM 1767 (34th Street).",ServiceNow-AI/Apriel-5B-Instruct,Which roads does Business Interstate 27-U intersect along its route?,"FM 3466 (South 4th Street), US 70 (5th Street), and FM 1767 (34th Street)","Business Interstate 27-U intersects with [HAL]US Highway 82[/HAL], [HAL]US Highway 279[/HAL], and [HAL]FM 1614[/HAL] in its route.",
